2bwm 0.2-2
tzdata 2016j-1
uchardet 0.0.6-1
udisks2 2.1.8-1
ufw 0.35-2
ultra-flat-icons-blue 1.3.2-1
umlet 14.2-1
unibilium 1.2.0-1
unixodbc 2.3.4-2
unrar 1:5.4.5-1
unzip 6.0-12
upower 0.99.4+12+g402640b-1
urxvt-perls 2.2-1
usbmuxd 1.1.0-2
usbutils 008-1
util-linux 2.29.1-1
v4l-utils 1.10.1-1
vamp-plugin-sdk 2.6-1
vi 1:070224-2
vid.stab 1.1-1
videoproto 2.3.3-1
virtualgl 2.5.1-1
vsqlite++ 0.3.13-4
vte-common 0.46.1-1
vte3-ng 0.46.1.a-1
vulkan-icd-loader 1.0.39.0-1
w3m 0.5.3.git20170102-1
wavpack 5.1.0-1
wayland 1.12.0-1
wayland-protocols 1.7-1
webkit2gtk 2.14.4-1
weechat 1.7-1
wego-git r130.a8a0870-1
which 2.21-2
whois 5.2.14-1
wireless_tools 30.pre9-1
wireshark-git 2.3.0rc0+2376+gc01cdd4e47-1
wpa_actiond 1.4-2
wpa_supplicant 1:2.6-4
wxgtk 3.0.2-6
x265 2.2-1
xapian-core 1:1.4.2-1
xautolock 2.2-4
xcalib 0.9-1
xcb-proto 1.12-3
xcb-util 0.4.0-1
xcb-util-image 0.4.0-1
xcb-util-keysyms 0.4.0-1
xcb-util-renderutil 0.3.9-1
xcb-util-wm 0.4.1-1
xcb-util-xrm 1.2-2
xclip 0.13-1
xcursor-pixelfun 3.2-3
xcursor-vanilla-dmz 0.4.4-1
xdg-utils 1.1.1-5
xdo 0.5.3-1
xextproto 7.3.0-1
xf86-input-libinput 0.24.0-1
xf86-video-intel 1:2.99.917+757+g93942b7d-1
xf86dgaproto 2.1-3
xf86vidmodeproto 2.3.1-3
xfconf 4.12.1-1
xfsprogs 4.9.0-1
xineramaproto 1.2.1-3
xkeyboard-config 2.20-1
xorg-bdftopcf 1.0.5-1
xorg-font-util 1.3.1-1
xorg-font-utils 7.6-4
xorg-fonts-alias 1.0.3-1
xorg-fonts-encodings 1.0.4-4
xorg-fonts-misc 1.0.3-5
xorg-mkfontdir 1.0.7-7
xorg-mkfontscale 1.1.2-1
xorg-server 1.19.1-2
xorg-server-common 1.19.1-2
xorg-setxkbmap 1.3.1-1
xorg-utils 7.6-9
xorg-xauth 1.0.10-1
xorg-xbacklight 1.2.1-1
xorg-xdpyinfo 1.3.2-1
xorg-xdriinfo 1.0.5-1
xorg-xev 1.2.2-1
xorg-xinit 1.3.4-4
xorg-xkbcomp 1.3.1-1
xorg-xlsatoms 1.1.2-1
xorg-xlsclients 1.1.3-1
xorg-xmodmap 1.0.9-1
xorg-xprop 1.2.2-1
xorg-xrandr 1.5.0-1
